id,name,url,city,province
appletree_new_patient,Appletree Medical Group,https://appletreemedicalgroup.com/patients/register-new-patient/,Ontario Wide,ON
mci_doctors_office,MCI The Doctor's Office,https://mci-doctorsoffice.ca/accepting-new-patients/,Ontario Wide,ON
well_health_clinics,WELL Health Medical Centres,https://wellclinics.ca/accepting-new-patients/,Ontario Wide,ON
md_connected,MD Connected,https://www.mdconnected.ca/family-practice/,Ontario Wide,ON
cloud_care_clinics,Cloud Care Clinics,https://cloudcareclinics.ca/new-online-booking/,Toronto,ON
good_doctors,Good Doctors Medical,https://gooddoctors.ca/site/register-new-patient/,Ontario Wide,ON
magenta_health,Magenta Health,https://www.magentahealth.ca/new-patients,Toronto,ON
albany_medical,Albany Medical Clinic,https://www.albanyclinic.ca/new-patient-registration/registration-form/,Toronto,ON
infinity_health,Infinity Health Centre,https://infinityhealthcentre.com/new-patients,Toronto,ON
integra_health,Integra Health Centre,https://www.integrahealth.ca/contact-us,Toronto,ON
taddle_creek_fht,Taddle Creek FHT,https://taddlecreekfht.ca/about-us/becoming-a-patient/,Toronto,ON
st_michaels_fht,St. Michael's Academic FHT,https://unityhealth.to/areas-of-care/programs-and-clinics/family-and-community-medicine/,Toronto,ON
tw_fht_bathurst,Toronto Western FHT (Bathurst),https://www.twfht.ca/displayPage.php?page=LookingForAPhysician,Toronto,ON
village_fht,Village Family Health Team,https://villagefht.ca/new-patients/,Toronto,ON
citrus_medical,Citrus Medical Centre,https://www.citrusmedical.ca/register,Toronto,ON
corktown_medical,Corktown Medical Centre,https://corktownmedical.com/new-patients/,Toronto,ON
healthsource_medical,HealthSource Medical,https://hsmedical.ca/new-patients/,Toronto,ON
grace_medical,Grace Medical,https://www.gracemedicalclinic.ca/register,Toronto,ON
bloor_medical,Bloor Medical Clinic,https://bloormedical.ca/new-patients/,Toronto,ON
harbourfront_medical,Harbourfront Medical,https://hmedical.ca/new-family-doctor,Toronto,ON
queens_quay_medical,Queen's Quay Medical,https://queensquaymedical.com/registration/,Toronto,ON
spadina_health,Spadina Health Centre,https://spadinahealth.ca/register/,Toronto,ON
college_care_medical,College Care Medical,https://collegecaremedical.ca/register/,Toronto,ON
yonge_eglinton_medical,Yonge Eglinton Medical,https://yemc.ca/new-patients/,Toronto,ON
davisville_family,Davisville Family Practice,https://davisvillefamilypractice.com/new-patients/,Toronto,ON
